Pulse Height /electron (V);

9.617189446e-10

Npe*G_PMT  t_b (ns)  t_r (ns)  t_f (ns);
3.1e+08    -6.585    -4.935    17.79
3.11e+08    -6.585    -4.935    17.79
3.12e+08    -6.585    -4.945    17.8
3.13e+08    -6.585    -4.945    17.82
3.14e+08    -6.585    -4.945    17.82
3.15e+08    -6.585    -4.945    17.82
3.16e+08    -6.585    -4.955    17.83
3.17e+08    -6.585    -4.955    17.85
3.18e+08    -6.585    -4.955    17.85
3.19e+08    -6.585    -4.955    17.86
3.2e+08    -6.585    -4.965    17.86
3.21e+08    -6.585    -4.965    17.87
3.22e+08    -6.585    -4.965    17.87
3.23e+08    -6.585    -4.965    17.89
3.24e+08    -6.585    -4.975    17.89
3.25e+08    -6.585    -4.975    17.9
3.26e+08    -6.585    -4.975    17.9
3.27e+08    -6.585    -4.975    17.92
3.28e+08    -6.585    -4.985    17.93
3.29e+08    -6.585    -4.985    17.93
3.3e+08    -6.585    -4.985    17.93
3.31e+08    -6.585    -4.985    17.94
3.32e+08    -6.585    -4.995    17.96
3.33e+08    -6.585    -4.995    17.96
3.34e+08    -6.585    -4.995    17.96
3.35e+08    -6.585    -4.995    17.97
3.36e+08    -6.585    -5.005    17.99
3.37e+08    -6.585    -5.005    17.99
3.38e+08    -6.585    -5.005    18
3.39e+08    -6.585    -5.005    18
3.4e+08    -6.585    -5.015    18
3.41e+08    -6.585    -5.015    18.01
3.42e+08    -6.585    -5.015    18.03
3.43e+08    -6.585    -5.015    18.03
3.44e+08    -6.585    -5.015    18.04
3.45e+08    -6.585    -5.025    18.04
3.46e+08    -6.585    -5.025    18.05
3.47e+08    -6.585    -5.025    18.05
3.48e+08    -6.585    -5.025    18.07
3.49e+08    -6.585    -5.035    18.07
3.5e+08    -6.585    -5.035    18.07
3.51e+08    -6.585    -5.035    18.08
3.52e+08    -6.585    -5.035    18.1
3.53e+08    -6.585    -5.035    18.1
3.54e+08    -6.585    -5.045    18.11
3.55e+08    -6.585    -5.045    18.11
3.56e+08    -6.585    -5.045    18.11
3.57e+08    -6.585    -5.045    18.12
3.58e+08    -6.585    -5.055    18.14
3.59e+08    -6.585    -5.055    18.14
3.6e+08    -6.585    -5.055    18.14
3.61e+08    -6.585    -5.055    18.15
3.62e+08    -6.585    -5.055    18.15
3.63e+08    -6.585    -5.065    18.17
3.64e+08    -6.585    -5.065    18.18
3.65e+08    -6.585    -5.065    18.18
3.66e+08    -6.585    -5.065    18.18
3.67e+08    -6.585    -5.075    18.19
3.68e+08    -6.585    -5.075    18.19
3.69e+08    -6.585    -5.075    18.21
3.7e+08    -6.585    -5.075    18.21
3.71e+08    -6.585    -5.075    18.21
3.72e+08    -6.585    -5.085    18.22
3.73e+08    -6.585    -5.085    18.24
3.74e+08    -6.585    -5.085    18.24
3.75e+08    -6.585    -5.085    18.25
3.76e+08    -6.585    -5.085    18.25
3.77e+08    -6.585    -5.095    18.25
3.78e+08    -6.585    -5.095    18.26
3.79e+08    -6.585    -5.095    18.26
3.8e+08    -6.585    -5.095    18.28
3.81e+08    -6.585    -5.095    18.29
3.82e+08    -6.585    -5.105    18.29
3.83e+08    -6.585    -5.105    18.29
3.84e+08    -6.585    -5.105    18.3
3.85e+08    -6.585    -5.105    18.3
3.86e+08    -6.585    -5.115    18.32
3.87e+08    -6.585    -5.115    18.32
3.88e+08    -6.585    -5.115    18.32
3.89e+08    -6.585    -5.115    18.33
3.9e+08    -6.585    -5.115    18.33
3.91e+08    -6.585    -5.125    18.35
3.92e+08    -6.585    -5.125    18.35
3.93e+08    -6.585    -5.125    18.36
3.94e+08    -6.585    -5.125    18.36
3.95e+08    -6.585    -5.125    18.36
3.96e+08    -6.585    -5.135    18.37
3.97e+08    -6.585    -5.135    18.37
3.98e+08    -6.585    -5.135    18.39
3.99e+08    -6.585    -5.135    18.39
4e+08    -6.585    -5.135    18.39
4.01e+08    -6.585    -5.135    18.4
4.02e+08    -6.585    -5.145    18.4
4.03e+08    -6.585    -5.145    18.42
4.04e+08    -6.585    -5.145    18.43
4.05e+08    -6.585    -5.145    18.43
4.06e+08    -6.585    -5.145    18.43
4.07e+08    -6.585    -5.155    18.43
4.08e+08    -6.585    -5.155    18.44
4.09e+08    -6.585    -5.155    18.46
4.1e+08    -6.585    -5.155    18.46
4.11e+08    -6.585    -5.155    18.46
4.12e+08    -6.585    -5.165    18.46
4.13e+08    -6.585    -5.165    18.47
4.14e+08    -6.585    -5.165    18.49
4.15e+08    -6.585    -5.165    18.49
4.16e+08    -6.585    -5.165    18.5
4.17e+08    -6.585    -5.175    18.5
4.18e+08    -6.585    -5.175    18.5
4.19e+08    -6.585    -5.175    18.5
4.2e+08    -6.585    -5.175    18.51
4.21e+08    -6.585    -5.175    18.53
4.22e+08    -6.585    -5.175    18.53
4.23e+08    -6.585    -5.185    18.54
4.24e+08    -6.585    -5.185    18.54
4.25e+08    -6.585    -5.185    18.54
4.26e+08    -6.585    -5.185    18.54
4.27e+08    -6.585    -5.185    18.55
4.28e+08    -6.585    -5.195    18.55
4.29e+08    -6.585    -5.195    18.57
4.3e+08    -6.585    -5.195    18.57
4.31e+08    -6.585    -5.195    18.57
4.32e+08    -6.585    -5.195    18.58
4.33e+08    -6.585    -5.195    18.58
4.34e+08    -6.585    -5.205    18.6
4.35e+08    -6.585    -5.205    18.6
4.36e+08    -6.585    -5.205    18.61
4.37e+08    -6.585    -5.205    18.61
4.38e+08    -6.585    -5.205    18.61
4.39e+08    -6.585    -5.215    18.61
4.4e+08    -6.585    -5.215    18.62
4.41e+08    -6.585    -5.215    18.64
4.42e+08    -6.585    -5.215    18.64
4.43e+08    -6.585    -5.215    18.64
4.44e+08    -6.585    -5.215    18.64
4.45e+08    -6.585    -5.225    18.65
4.46e+08    -6.585    -5.225    18.65
4.47e+08    -6.585    -5.225    18.67
4.48e+08    -6.585    -5.225    18.67
4.49e+08    -6.585    -5.225    18.68
4.5e+08    -6.585    -5.225    18.68
4.51e+08    -6.585    -5.235    18.68
4.52e+08    -6.585    -5.235    18.68
4.53e+08    -6.585    -5.235    18.69
4.54e+08    -6.585    -5.235    18.69
4.55e+08    -6.585    -5.235    18.71
4.56e+08    -6.585    -5.235    18.71
4.57e+08    -6.585    -5.245    18.71
4.58e+08    -6.585    -5.245    18.72
4.59e+08    -6.585    -5.245    18.72
4.6e+08    -6.585    -5.245    18.74
4.61e+08    -6.585    -5.245    18.74
4.62e+08    -6.585    -5.245    18.75
4.63e+08    -6.585    -5.255    18.75
4.64e+08    -6.585    -5.255    18.75
4.65e+08    -6.585    -5.255    18.75
4.66e+08    -6.585    -5.255    18.76
4.67e+08    -6.585    -5.255    18.76
4.68e+08    -6.585    -5.255    18.78
4.69e+08    -6.585    -5.265    18.78
4.7e+08    -6.585    -5.265    18.79
4.71e+08    -6.585    -5.265    18.79
4.72e+08    -6.585    -5.265    18.79
4.73e+08    -6.585    -5.265    18.79
4.74e+08    -6.585    -5.265    18.8
4.75e+08    -6.585    -5.275    18.8
4.76e+08    -6.585    -5.275    18.82
4.77e+08    -6.585    -5.275    18.82
4.78e+08    -6.585    -5.275    18.82
4.79e+08    -6.585    -5.275    18.82
4.8e+08    -6.585    -5.275    18.83
4.81e+08    -6.585    -5.285    18.83
4.82e+08    -6.585    -5.285    18.85
4.83e+08    -6.585    -5.285    18.85
4.84e+08    -6.585    -5.285    18.86
4.85e+08    -6.585    -5.285    18.86
4.86e+08    -6.585    -5.285    18.86
4.87e+08    -6.585    -5.285    18.86
4.88e+08    -6.585    -5.295    18.87
4.89e+08    -6.585    -5.295    18.87
4.9e+08    -6.585    -5.295    18.89
4.91e+08    -6.585    -5.295    18.89
4.92e+08    -6.585    -5.295    18.89
4.93e+08    -6.585    -5.295    18.89
4.94e+08    -6.585    -5.305    18.9
4.95e+08    -6.585    -5.305    18.9
4.96e+08    -6.585    -5.305    18.92
4.97e+08    -6.585    -5.305    18.92
4.98e+08    -6.585    -5.305    18.93
4.99e+08    -6.585    -5.305    18.93
5e+08    -6.585    -5.305    18.93
5.01e+08    -6.585    -5.315    18.93
5.02e+08    -6.585    -5.315    18.93
5.03e+08    -6.585    -5.315    18.94
5.04e+08    -6.585    -5.315    18.94
5.05e+08    -6.585    -5.315    18.96
5.06e+08    -6.585    -5.315    18.96
5.07e+08    -6.585    -5.325    18.96
5.08e+08    -6.585    -5.325    18.96
5.09e+08    -6.585    -5.325    18.97
5.1e+08    -6.585    -5.325    18.97
5.11e+08    -6.585    -5.325    18.99
5.12e+08    -6.585    -5.325    18.99
5.13e+08    -6.585    -5.325    19
5.14e+08    -6.585    -5.335    19
5.15e+08    -6.585    -5.335    19
5.16e+08    -6.585    -5.335    19
5.17e+08    -6.585    -5.335    19
5.18e+08    -6.585    -5.335    19.01
5.19e+08    -6.585    -5.335    19.01
5.2e+08    -6.585    -5.335    19.03
5.21e+08    -6.585    -5.345    19.03
5.22e+08    -6.585    -5.345    19.04
5.23e+08    -6.585    -5.345    19.04
5.24e+08    -6.585    -5.345    19.04
5.25e+08    -6.585    -5.345    19.04
5.26e+08    -6.585    -5.345    19.05
5.27e+08    -6.585    -5.345    19.05
5.28e+08    -6.585    -5.355    19.05
5.29e+08    -6.585    -5.355    19.07
5.3e+08    -6.585    -5.355    19.07
5.31e+08    -6.585    -5.355    19.07
5.32e+08    -6.585    -5.355    19.07
5.33e+08    -6.585    -5.355    19.08
5.34e+08    -6.585    -5.355    19.08
5.35e+08    -6.585    -5.365    19.1
5.36e+08    -6.585    -5.365    19.1
5.37e+08    -6.585    -5.365    19.1
5.38e+08    -6.585    -5.365    19.11
5.39e+08    -6.585    -5.365    19.11
5.4e+08    -6.585    -5.365    19.11
5.41e+08    -6.585    -5.365    19.11
5.42e+08    -6.585    -5.375    19.12
5.43e+08    -6.585    -5.375    19.12
5.44e+08    -6.585    -5.375    19.12
5.45e+08    -6.585    -5.375    19.14
5.46e+08    -6.585    -5.375    19.14
5.47e+08    -6.585    -5.375    19.14
5.48e+08    -6.585    -5.375    19.14
5.49e+08    -6.585    -5.385    19.15
5.5e+08    -6.585    -5.385    19.15
5.51e+08    -6.585    -5.385    19.17
5.52e+08    -6.585    -5.385    19.17
5.53e+08    -6.585    -5.385    19.17
5.54e+08    -6.585    -5.385    19.18
5.55e+08    -6.585    -5.385    19.18
5.56e+08    -6.585    -5.385    19.18
5.57e+08    -6.585    -5.395    19.18
5.58e+08    -6.585    -5.395    19.19
5.59e+08    -6.585    -5.395    19.19
5.6e+08    -6.585    -5.395    19.19
5.61e+08    -6.585    -5.395    19.21
5.62e+08    -6.585    -5.395    19.21
5.63e+08    -6.585    -5.395    19.21
5.64e+08    -6.585    -5.405    19.21
5.65e+08    -6.585    -5.405    19.21
5.66e+08    -6.585    -5.405    19.22
5.67e+08    -6.585    -5.405    19.22
5.68e+08    -6.585    -5.405    19.24
5.69e+08    -6.585    -5.405    19.24
5.7e+08    -6.585    -5.405    19.25
5.71e+08    -6.585    -5.405    19.25
5.72e+08    -6.585    -5.415    19.25
5.73e+08    -6.585    -5.415    19.25
5.74e+08    -6.585    -5.415    19.25
5.75e+08    -6.585    -5.415    19.26
5.76e+08    -6.585    -5.415    19.26
5.77e+08    -6.585    -5.415    19.26
5.78e+08    -6.585    -5.415    19.28
5.79e+08    -6.585    -5.425    19.28
5.8e+08    -6.585    -5.425    19.29
5.81e+08    -6.585    -5.425    19.29
5.82e+08    -6.585    -5.425    19.29
5.83e+08    -6.585    -5.425    19.29
5.84e+08    -6.585    -5.425    19.29
5.85e+08    -6.585    -5.425    19.31
5.86e+08    -6.585    -5.425    19.31
5.87e+08    -6.585    -5.435    19.32
5.88e+08    -6.585    -5.435    19.32
5.89e+08    -6.585    -5.435    19.32
5.9e+08    -6.585    -5.435    19.32
5.91e+08    -6.585    -5.435    19.32
